DATE OF ACQUISITION,Country
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,India
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Iran
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Syria
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1891,Turkey
1895,India
1896,India
1897,Egypt
1897,Egypt
1897,Egypt
1897,Egypt
1897,Egypt
1897,Egypt
1897,Egypt
1897,Egypt
1897,Egypt
1897,Egypt
1897,Egypt
1897,Egypt
1897,India
1897,Turkey
1897,Turkey
1898,Egypt
1898,Egypt
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,India
1898,Iran
1898,Iran
1898,Iran
1898,Iran
1898,Iran
1898,Iran
1898,Iran
1898,Iran
1898,Iran
1898,Syria
1898,Turkey
1898,Turkey
1898,Turkey
1898,Turkey
1898,Turkey
1899,Egypt
1899,Egypt
1900,Syria
1902,Egypt
1902,Egypt
1902,Egypt
1902,Iran
1902,Iran
1902,Iran
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1902,Turkey
1903,Egypt
1903,Egypt
1903,Egypt
1903,Egypt
1903,Egypt
1903,Egypt
1903,Iran
1903,Iran
1903,Iran
1903,Iran
1904,Egypt
1904,Egypt
1904,Egypt
1904,Iran
1904,Egypt
1905,Egypt
1905,Egypt
1905,Egypt
1905,Egypt
1905,India
1905,India
1906,Egypt
1906,Iran
1906,Iran
1906,Iran
1906,Iran
1906,Iran
1906,Iran
1906,Syria
1906,Syria
1906,Syria
1906,Syria
1906,Turkey
1906,Turkey
1906,Turkey
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
1907,Egypt
